eeschema (20100311 SVN-R2445)-RC5  >> Creation date: Fri 12 Mar 2010 11:31:16 AM EST

#Cmp ( order = Reference ) (with SubCmp)
| Ferrite-Bead L7           (Sheet /FTDI USB UART/)   (loc B2);             
| FT232RL      U13          (Sheet /FTDI USB UART/)   (loc B3);             
| KOBICONN     P1           (Sheet /)   (loc A1);             
| LED          D4           (Sheet /)   (loc C9); LED-0805    
| LED          D5           (Sheet /)   (loc C9); LED-0805    
| LED          D6           (Sheet /)   (loc C9); LED-0805    
| LED          D7           (Sheet /)   (loc C9); LED-0805    
| LED          D8           (Sheet /Wiznet Networking/)   (loc B5); LED-0805    
| LED          D9           (Sheet /Wiznet Networking/)   (loc B5); LED-0805    
| LED          D10          (Sheet /Wiznet Networking/)   (loc B5); LED-0805    
| LED          D11          (Sheet /Wiznet Networking/)   (loc B5); LED-0805    
| LED          D12          (Sheet /Wiznet Networking/)   (loc B5); LED-0805    
| LED          D17          (Sheet /FTDI USB UART/)   (loc B4); LED-0805    
| LED          D18          (Sheet /FTDI USB UART/)   (loc B4); LED-0805    
| LTC1771      U11          (Sheet /Power Supply/)   (loc B2); MSOP8       
| LTC3827      U10          (Sheet /Power Supply/)   (loc B2); TSOT-23     
| MOSFET_N     Q3           (Sheet /Power Supply/)   (loc C3);             
| NMOS         Q4           (Sheet /Power Supply/)   (loc A3);             
| NPN          Q1           (Sheet /USB Interface/)   (loc B2);             
| NPN          Q2           (Sheet /USB Interface/)   (loc B3);             
| RD1-125BAG1A U7           (Sheet /Wiznet Networking/)   (loc C6); MagJack     
| SD_CARD      U14          (Sheet /)   (loc E10);             
| STM32F103    U2           (Sheet /)   (loc B5); LQFP144     
| SW_PUSH      SW1          (Sheet /)   (loc C1);             
| SWITCH       SW5          (Sheet /)   (loc B1);             
| SWITCH       SW6          (Sheet /)   (loc B1);             
| TACT-SKQU    U3           (Sheet /)   (loc D10); alps_tact_button
| USB-TYPEB    U8           (Sheet /USB Interface/)   (loc B2); mini-usb-b  
| USB-TYPEB    U12          (Sheet /FTDI USB UART/)   (loc B2); mini-usb-b  
| USBLC6-2P6   U9           (Sheet /USB Interface/)   (loc B3); SOT23_6L    
| VBAT         U1           (Sheet /)   (loc D1);             
| W5300        U6           (Sheet /Wiznet Networking/)   (loc B2); -LQFP100    
#End Cmp

#End List
