"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R41","0603R","2825mil","5175mil","2825mil","5175mil","2825mil","5147.5mil","T","270.00","0"
"R42","0603R","4050mil","3975mil","4050mil","3975mil","4077.5mil","3975mil","T","360.00","22[N/A]"
"R43","0603R","4050mil","3900mil","4050mil","3900mil","4077.5mil","3900mil","T","360.00","22[N/A]"
"R44","0603R","1950mil","5425mil","1950mil","5425mil","1922.5mil","5425mil","T","180.00","0"
"R45","0603R","1525mil","5425mil","1525mil","5425mil","1497.5mil","5425mil","T","180.00","0"
"R46","0603R","1950mil","5875mil","1950mil","5875mil","1922.5mil","5875mil","T","180.00","10K"
"R47","0603R","1525mil","5875mil","1525mil","5875mil","1497.5mil","5875mil","T","180.00","10K"
"R48","0603R","1800mil","5875mil","1800mil","5875mil","1772.5mil","5875mil","T","180.00","0"
"R49","0603R","600mil","3950mil","600mil","3950mil","600mil","3922.5mil","T","270.00","0"
"R50","0603R","1375mil","5875mil","1375mil","5875mil","1347.5mil","5875mil","T","180.00","0"
"R51","0603R","600mil","5300mil","600mil","5300mil","600mil","5272.5mil","T","270.00","0"
"R52","0603R","600mil","4250mil","600mil","4250mil","600mil","4222.5mil","T","270.00","120"
"R53","0603R","600mil","5600mil","600mil","5600mil","600mil","5572.5mil","T","270.00","120"
"R54","0603R","600mil","4100mil","600mil","4100mil","600mil","4072.5mil","T","270.00","[N/A]"
"R55","0603R","600mil","5450mil","600mil","5450mil","600mil","5422.5mil","T","270.00","[N/A]"
"R56","0603R","2925mil","1425mil","2925mil","1425mil","2925mil","1397.5mil","T","270.00","10K"
"R57","0603R","3025mil","1425mil","3025mil","1425mil","3025mil","1397.5mil","T","270.00","100K"
"R58","0603R","2625mil","1425mil","2625mil","1425mil","2625mil","1397.5mil","T","270.00","100K"
"R59","0603R","2075mil","4100mil","2075mil","4100mil","2075mil","4072.5mil","T","270.00","0"
"R60","0603R","1600mil","4575mil","1600mil","4575mil","1627.5mil","4575mil","T","360.00","10K"
"R61","0603R","1600mil","4425mil","1600mil","4425mil","1627.5mil","4425mil","T","360.00","10K"
"R62","0603R","3450mil","3175mil","3450mil","3175mil","3422.5mil","3175mil","T","180.00","[N/A]"
"R63","0603R","2175mil","4100mil","2175mil","4100mil","2175mil","4127.5mil","T","90.00","390"
